Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Class of Orbit,Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Date of Launch,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
Lingqiao-A,NR,Changchun Institute of Optics,China,Commercial,Earth Observation,LEO,639.0,664.0,0.00178,98.04,97.75,10/7/2015,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057B,40959.0
Lingqiao-B,NR,Changchun Institute of Optics,China,Commercial,Earth Observation,LEO,639.0,663.0,0.00171,98.04,97.74,10/7/2015,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057C,40960.0
LMRSTSat,NR,NASA Jet Propulsion Laboratory,USA,Government,Technology Demonstration,LEO,493.0,800.0,0.0219,64.78,97.65,10/8/2015,NASA Jet Propulsion Laboratory,USA,Cape Canaveral,Atlas 5,2015-058H,40971.0
Cosmos 2455,Russia,Ministry of Defense,Russia,Military,Earth Observation,LEO,900.0,911.0,0.000756,67.2,103.1,11/20/2009,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz U,2009-063A,36095.0
Cosmos 2502,Russia,Ministry of Defense,Russia,Military,Earth Observation,LEO,901.0,910.0,0.000619,67.15,103.11,12/23/2014,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz 2-1b,2014-086A,40358.0
LQSat,NR,Changchun Institute of Optics,China,Commercial,Earth Observation,LEO,640.0,663.0,0.00164,98.04,97.77,10/7/2015,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057A,40958.0
Luch 5A,Russia,Russian Federal Space Agency,Russia,Government,Communications,GEO,35778.0,35793.0,0.000178,4.85,1436.8,12/11/2011, ISS Reshetnev/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,2011-074B,37951.0
Luch 5B,Russia,Russian Federal Space Agency,Russia,Government,Communications,GEO,35772.0,35801.0,0.000344,0.22,1436.09,11/2/2012,OAO ISS,Russia,Baikonur Cosmodrome,Proton M,2012-061A,38977.0
Luch 5V,Russia,Russian Federal Space Agency,Russia,Government,Communications,GEO,35767.0,35802.0,0.000415,4.76,1435.99,4/28/2014,OAO Rešetněva,Russia,Baikonur Cosmodrome,Proton M,2014-023A,39727.0
Luch/Olympus,Russia,Ministry of Defense,Russia,Military,Communications,GEO,35781.0,35793.0,0.000142,0.05,1436.12,9/27/2014,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2014-058A,40258.0
M3MSat,NR,Defence Research and Development Canada (DRDC)/Canadian Space Agency,Canada,Government,Earth Observation,LEO,501.0,515.0,0.00102,97.5,94.7,6/22/2016,Com Dev International (Honeywell Canada),Canada,Satish Dhawan Space Center,PSLV XL,2016-040G,41605.0
Maroc Tubsat,NR,CTRS Morocco/Institut für Luft-und Raumfahrttechnik (Berlin),Morocco/Germany,Government,Technology Development,LEO,984.0,1014.0,0.00204,99.2,105.1,12/10/2001,CRTS Morocco/Institut für Luft-und Raumfahrttechnik,Morocco/Germany,Baikonur Cosmodrome,Zenit,2001-056D,27004.0
M-Cubed/E1P-U2,USA,University of Michigan/Montana University,USA,Civil,Technology Development,LEO,442.0,724.0,0.0203,101.7,97.45,10/28/2011,University of Michigan/Montana University/Montana Space Grant Consortium,USA,Vandenberg AFB,Delta 7920,2011-061F,37855.0
Measat 2,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Malaysia,Commercial,Communications,GEO,35782.0,35791.0,0.000107,1.09,1436.12,11/14/1996,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,1996-063B,24653.0
Measat 3,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Malaysia,Commercial,Communications,GEO,35778.0,35794.0,0.00019,0.0,1436.1,12/11/2006,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton M,2006-056A,29648.0
Measat 3A,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Malaysia,Commercial,Communications,GEO,35728.0,35788.0,0.000712,0.04,1434.6,6/21/2009,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Zenit 3SLB,2009-032A,35362.0
Measat 3B,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Malaysia,Commercial,Communications,GEO,35772.0,35802.0,0.000356,0.05,1436.11,9/11/2014,Airbus Defence and Space,Germany/France,Guiana Space Center,Ariane 5 ECA,2014-054B,40147.0
Megha-Tropiques,India,Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),India/France,Government,Earth Observation,LEO,853.0,868.0,0.00104,20.0,102.2,10/12/2011,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV,2011-058A,37838.0
USA 105,USA,National Reconnaissance Office (NRO)/USAF,USA,Military,Earth Observation,GEO,35598.0,35976.0,0.00448,5.1,1436.13,8/27/1994,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1994-054A,23223.0
USA 118,USA,National Reconnaissance Office (NRO)/USAF,USA,Military,Earth Observation,GEO,33674.0,37900.0,0.0501,7.33,1436.12,4/24/1996,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1996-026A,23855.0
USA 250,USA,National Reconnaissance Office (NRO)/USAF,USA,Military,Earth Observation,GEO,35500.0,35500.0,0.0,7.0,1436,4/10/2014,Unknown,USA,Cape Canaveral,Atlas 5,2014-020A,39652.0
Meridian-3,Russia,Military Space Forces (VKS),Russia,Military,Communications,Elliptical,2253.0,38105.0,0.675,62.85,645.98,11/2/2010,PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2-1a,2010-058A,37212.0
Meridian-4,Russia,Military Space Forces (VKS),Russia,Military,Communications,Elliptical,1722.0,38637.0,0.695,64.47,717.88,5/4/2011,PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2-1a,2011-018A,37398.0
Meridian-6,Russia,Military Space Forces (VKS),Russia,Military,Communications,Elliptical,1494.0,38860.0,0.704,63.77,718.04,11/14/2012,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2-1a,2012-063A,38995.0
Meridian-7,Russia,Military Space Forces (VKS),Russia,Military,Communications,Elliptical,962.0,39398.0,0.724,62.82,717.88,10/30/2014,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2-1a,2014-069A,40296.0
Meteor-M N-2,Russia,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Russia,Government,Earth Observation,LEO,819.0,828.0,0.000626,98.81,101.3,7/8/2014,VNIIEM,Russia,Baikonur Cosmodrome,Soyuz 2-1b,2014-037A,40069.0
Meteosat 10,EUMETSAT,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Multinational,Government/Civil,Earth Observation,GEO,35784.0,35791.0,8.3e-05,1.8,1436.15,7/5/2012,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2012-035B,38552.0
Meteosat 11,EUMETSAT,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Multinational,Government/Civil,Earth Observation,GEO,35791.0,35795.0,4.74e-05,3.1,1436.1,7/15/2015,Thales Alen,France/Italy,Guiana Space Center,Ariane 5 ECA,2015-034A,40732.0
Meteosat 7,EUMETSAT,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Multinational,Government/Civil,Earth Observation,GEO,35770.0,35797.0,0.00032,4.71,1435.96,9/2/1997,Alcatel,France,Guiana Space Center,Ariane 5,1997-049B,24932.0
Meteosat 8,EUMETSAT/ESA,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Multinational,Government/Civil,Earth Observation,GEO,35781.0,35793.0,0.000142,0.46,1436.1,8/21/2002,Alcatel,France,Guiana Space Center,Ariane 5,2002-040B,27509.0
Meteosat 9,EUMETSAT,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Multinational,Government/Civil,Earth Observation,GEO,35775.0,35795.0,0.000237,0.29,1436,12/21/2005,Alcatel/Alenia Space,France/Italy,Guiana Space Center,Ariane 5G,2005-049B,28912.0
MetOp-A,EUMETSAT,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Multinational,Government/Civil,Earth Observation,LEO,820.0,821.0,6.95e-05,98.7,101.3,10/19/2006,EADS-Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Soyuz-Fregat (Soyuz 2),2006-044A,29499.0
MetOp-B,EUMETSAT,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Multinational,Government/Civil,Earth Observation,LEO,819.0,822.0,0.000209,98.7,101.3,9/17/2012,EADS-Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Soyuz 2-1a,2012-049A,38771.0
Mexsat-3,Mexico,Mexico Telecomm,Mexico,Government/Military,Communications,GEO,35784.0,35791.0,8.3e-05,0.07,1436.16,12/19/2012,Orbital Sciences Corp.,USA,Guiana Space Center,Atlas 5 ECA,2012-075B,39035.0
Mexsat-2,NR,Mexico Telecomm,Mexico,Government,Communications,GEO,35767.0,35805.0,0.000451,7.12,1436,10/2/2015,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2015-056A,40946.0
MICROSCOPE,NR,Centre National d'Etudes Spatiales (CNES),ESA,Government,Space Science,LEO,711.0,715.0,0.000282,98.23,99,4/25/2016,CNES,France,Guiana Space Center,Soyuz 2.1a,2016-025B,41457.0
MVL-300,NR,Moscow State University,Russia,Civil/Government,Space Science,LEO,469.0,487.0,0.00131,97.27,94,4/27/2016,Roscosmos,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026A,41464.0
USA 99,USA,US Air Force,USA,Military,Communications,GEO,35754.0,35819.0,0.000771,5.99,1436.13,2/7/1994,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4A,1994-009A,22988.0
USA 115,USA,US Air Force,USA,Military,Communications,GEO,35765.0,35809.0,0.000522,0.35,1436.13,11/6/1995,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4A,1995-060A,23712.0
USA 157,USA,US Air Force,USA,Military,Communications,GEO,35764.0,35768.0,4.75e-05,4.5,1435.04,2/27/2001,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4B,2001-009A,26715.0
USA 164,USA,US Air Force,USA,Military,Communications,GEO,35753.0,35820.0,0.000795,3.45,1436.12,1/16/2002,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4B,2002-001A,27168.0
USA 169,USA,US Air Force,USA,Military,Communications,GEO,35768.0,35806.0,0.000451,0.82,1436.13,4/8/2003,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4B,2003-012A,27711.0
MKA-FKI-1,Russia,Lavochkin Research and Production Association (Lavochkin NPO),Russia,Government,Earth Observation,LEO,805.0,821.0,0.00111,98.9,101.2,7/22/2012,Lavochkin NPO,Russia,Baikonur Cosmodrome,Soyuz-Fregat,2012-039E,38711.0
MMS-1,NR,National Aeronautics and Space Administration (NASA),USA,Government,Space Science,Elliptical,1375.0,70009.0,0.816,28.9,1433,3/13/2015,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011A,40482.0
MMS-2,NR,National Aeronautics and Space Administration (NASA),USA,Government,Space Science,Elliptical,1357.0,70117.0,0.816,29.0,1433,3/13/2015,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011B,40483.0
MMS-3,NR,National Aeronautics and Space Administration (NASA),USA,Government,Space Science,Elliptical,1429.0,70045.0,0.815,29.0,1433,3/13/2015,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011C,40484.0
MMS-4,NR,National Aeronautics and Space Administration (NASA),USA,Government,Space Science,Elliptical,1317.0,70157.0,0.817,29.0,1433,3/13/2015,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011D,40485.0
Microvariability & Oscillations of Stars (MOST),Canada,Canadian Space Agency,Canada,Government,Space Science,LEO,817.0,832.0,0.00104,98.7,101.4,6/30/2003,Dynacon Inc./University of Toronto Institute for Aerospace Studies/University of British Columbia,Canada,Plesetsk Cosmodrome,Rokot,2003-031D,27843.0
Mozhayets 4,Russia,Mozhaisky Space Engineering Academy,Russia,Civil,Technology Development,LEO,669.0,690.0,0.00149,97.8,98.3,9/27/2003,Mozhaiskiy Space Engineering Academy,Russia,Plesetsk Cosmodrome,Kosmos 3M,2003-042A,27939.0
MSAT 1,Canada,Mobile Satellite Ventures,USA/Canada,Commercial,Communications,GEO,35763.0,35809.0,0.000546,1.37,1436.09,4/20/1996,Spar Aerospace,Canada,Guiana Space Center,Ariane 42P,1996-022A,23846.0
MSAT 2,USA,Mobile Satellite Ventures,USA/Canada,Commercial,Communications,GEO,35776.0,35796.0,0.000237,4.02,1436.09,4/7/1995,Hughes Communications Inc.,USA,Cape Canaveral,Atlas 2A,1995-019A,23553.0
Multispectral Thermal Imager (MTI),USA,US Department of Energy/Office of Nonproliferation and National Security,USA,Government/Military,Technology Development,LEO,461.0,478.0,0.00124,97.47,94.9,3/12/2000,Ball Aerospace/TRW/Raytheon,USA,Vandenberg AFB,Taurus,2000-014A,26102.0
MTSAT-2,Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Japan,Government,Earth Observation,GEO,35776.0,35797.0,0.000249,0.01,1436.1,2/18/2006,Mitsubishi Electric/Boeing/Alcatel,Japan,Tanegashima Space Center,H2A,2006-004A,28937.0
MUOS-1,USA,DoD/US Navy,USA,Military,Communications,GEO,35569.0,36006.0,0.00518,3.73,1436.1,2/24/2012,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2012-009A,38093.0
MUOS-2,USA,DoD/US Navy,USA,Military,Communications,GEO,35550.0,36023.0,0.00561,4.11,1436.1,7/19/2013,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2013-036A,39206.0
MUOS-3,USA,DoD/US Navy,USA,Military,Communications,GEO,35576.0,35998.0,0.00501,4.57,1436.1,1/21/2015,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2015-002A,40374.0
MUOS-4,NR,DoD/US Navy,USA,Military,Communications,GEO,35576.0,35997.0,0.00499,4.8,1436.1,9/2/2015,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2015-044A,40887.0
MUOS-5,NR,DoD/US Navy,USA,Military,Communications,GEO,35576.0,35998.0,0.00501,4.5,1436.1,6/24/2016,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2016-041A,41622.0
Nanosat-1,Spain,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Government,Communications,LEO,654.0,659.0,0.000356,98.4,97.9,12/18/2004,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Guiana Space Center,Ariane 5G,2004-049B,28493.0
Nanosat-1B,NR,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Government,Communications/Technology Development,LEO,583.0,672.0,0.00636,98.1,97.3,7/29/2009,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Baikonur Cosmodrome,Dnepr,2009-041E,35685.0
NATO-4B,USA,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),United Kingdom,Military,Communications,GEO,35775.0,35795.0,0.000237,7.33,1436.04,12/8/1993,Matra Marconi,France,Cape Canaveral,Delta 2,1993-076A,22921.0
USA 213,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20188.0,20224.0,0.000677,55.0,718.94,5/28/2010,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2010-022A,36585.0
USA 262,NR,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20446.0,20459.0,0.000242,54.9,728.96,7/15/2015,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2015-033A,40730.0
USA 265,NR,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20426.0,20486.0,0.00112,55.0,97.7,10/31/2015,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2015-062A,41019.0
USA 266,NR,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20175.0,20188.0,0.000245,55.0,717.9,2/5/2016,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2016-007A,41328.0
USA 232,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20451.0,20464.0,0.000242,55.03,729.18,7/16/2011,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2011-036A,37753.0
USA 239,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20174.0,20191.0,0.00032,54.95,718,10/4/2012,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2012-053A,38833.0
USA 242,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20184.0,20247.0,0.00118,55.09,719.32,5/15/2013,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2013-023A,39166.0
USA 248,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20457.0,20469.0,0.000224,54.98,729.39,2/21/2014,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2014-008A,39533.0
USA 251,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20174.0,20188.0,0.000264,55.05,717.92,5/17/2014,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2014-026A,39741.0
USA 256,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20471.0,20476.0,9.31e-05,54.92,729,8/2/2014,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2014-045A,40105.0
USA 258,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20155.0,20211.0,0.00105,54.97,718.02,10/29/2014,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2014-068A,40294.0
USA 260,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20445.0,20469.0,0.000447,55.0,729.14,3/25/2015,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4M,2015-013A,40534.0
USA 175,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,19963.0,20327.0,0.00686,55.1,716.47,12/21/2003,Lockheed Martin,USA,Cape Canaveral,Delta 2,2003-058A,28129.0
USA 177,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20089.0,20276.0,0.00352,55.0,717.98,3/20/2004,Lockheed Martin,USA,Cape Canaveral,Delta 2,2004-009A,28190.0
USA 178,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20072.0,20292.0,0.00414,55.37,717.96,6/23/2004,Lockheed Martin,USA,Cape Canaveral,Delta 2,2004-023A,28361.0
USA 180,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,19938.0,20426.0,0.00919,54.8,718,11/6/2004,Lockheed Martin,USA,Cape Canaveral,Delta 2,2004-045A,28474.0
USA 132,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20123.0,20247.0,0.00233,54.9,718.09,7/23/1997,Lockheed Martin,USA,Cape Canaveral,Delta 2,1997-035A,24876.0
USA 145,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20096.0,20268.0,0.00324,53.0,717.97,10/7/1999,Lockheed Martin,USA,Cape Canaveral,Delta 2,1999-055A,25933.0
USA 150,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20133.0,20234.0,0.0019,54.9,718.03,5/11/2000,Lockheed Martin,USA,Cape Canaveral,Delta 2,2000-025A,26360.0
USA 151,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20184.0,20427.0,0.00455,55.0,722.98,7/16/2000,Lockheed Martin,USA,Cape Canaveral,Delta 2,2000-040A,26407.0
USA 154,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20177.0,20498.0,0.00601,55.0,724.28,11/10/2000,Lockheed Martin,USA,Cape Canaveral,Delta 2,2000-071A,26605.0
USA 156,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20104.0,20266.0,0.00305,55.0,718.09,1/30/2001,Lockheed Martin,USA,Cape Canaveral,Delta 2,2001-004A,26690.0
USA 166,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20155.0,20344.0,0.00355,55.0,720.71,1/29/2003,Lockheed Martin,USA,Cape Canaveral,Delta 2,2003-005A,27663.0
USA 168,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20063.0,20433.0,0.00695,54.9,720.65,3/31/2003,Lockheed Martin,USA,Cape Canaveral,Delta 2,2003-010A,27704.0
USA 183,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20142.0,20221.0,0.00149,55.08,717.95,9/26/2005,Lockheed Martin,USA,Cape Canaveral,Delta 2,2005-038A,28874.0
USA 190,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20020.0,20342.0,0.00606,54.94,717.93,9/25/2006,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 2,2006-042A,29486.0
USA 192,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20206.0,20366.0,0.003,55.02,722.19,11/17/2006,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 2,2006-052A,29601.0
USA 196,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20149.0,20213.0,0.00121,54.8,717.93,10/17/2007,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 2,2007-047A,32260.0
USA 199,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20150.0,20311.0,0.00303,54.96,719.92,12/20/2007,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 2,2007-062A,32384.0
USA 201,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20135.0,20152.0,0.000321,55.1,716.4,3/15/2008,Lockheed Martin,USA,Cape Canaveral,Delta 2,2008-012A,32711.0
USA 206,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,20160.0,20209.0,0.000923,55.12,718.07,8/17/2009,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 2,2009-043A,35752.0
Naxing 2,NR,Tsinghua University,China,Civil,Technology Development,LEO,519.0,540.0,0.00152,97.45,95.22,9/19/2015,Tsinghua University,China,Taiyuan Launch Center,Long March 6,2015-049G,40905.0
NBN-1A,NR,NBN Co (operated by Optus),Australia,Commercial,Communications,GEO,35744.0,35777.0,0.000392,0.07,1434.76,9/30/2015,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2015-054A,40940.0
NEOSSat,NR,Canadian Space Agency,Canada,Government,Space Observation,LEO,772.0,786.0,0.000979,98.6,100.4,2/25/2013,Microsat Systems Canada Inc.,Canada,Satish Dhawan Space Center,PSLV,2013-009D,39089.0
NigComSat-1R,China,NigComSat,Nigeria,Commercial,Communications,GEO,35793.0,35795.0,2.37e-05,0.2,1436.1,12/17/2011,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2011-077A,38014.0
NigeriaSat-2,Nigeria,National Space Research and Development Agency (NASRDA),Nigeria,Government,Earth Observation,LEO,691.0,705.0,0.00099,98.2,98.7,8/17/2011,Surrey Satellite Technology Ltd. (SSTL),United Kingdom,Dombarovsky Air Base,Dnepr 1,2011-044B,37789.0
Nigeriasat-X,Nigeria,National Space Research and Development Agency (NASRDA),Nigeria,Government,Earth Observation/Technology Development,LEO,661.0,696.0,0.00248,98.2,98.3,8/17/2011,Surrey Satellite Technology Ltd. (SSTL),United Kingdom,Dombarovsky Air Base,Dnepr 1,2011-044C,37790.0
Nilesat 102,NR,Egyptian Radio and TV Union ,Egypt,Government,Communications,GEO,35764.0,35808.0,0.000522,0.03,1436.08,8/17/2000,Matra Marconi,France,Guiana Space Center,Ariane 44LP,2000-046B,26470.0
Nilesat 201,NR,Egyptian Radio and TV Union ,Egypt,Government,Communications,GEO,35795.0,35813.0,0.000213,0.05,1436.23,8/4/2010,Thales Alenia Space,France,Guiana Space Center,Ariane 5,2010-037A,36830.0
Nimiq 2,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,GEO,35779.0,35793.0,0.000166,0.01,1436.08,12/29/2002,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,2002-062A,27632.0
Nimiq 4,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,GEO,35779.0,35794.0,0.000178,0.01,1436.1,9/19/2008,EADS Astrium,France,Baikonur Cosmodrome,Proton,2008-044A,33373.0
Nimiq 5,NR,Echostar Corporation (entire payload leased from Telesat Canada Ltd.),Canada,Commercial,Communications,GEO,35700.0,35700.0,0.0,0.01,1436.1,9/17/2009,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,2009-050A,35873.0
Nimiq 6,NR,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,GEO,35764.0,35809.0,0.000534,0.04,1436.09,5/18/2012,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,2012-026A,38342.0
NOAA-15,USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),USA,Government,Earth Observation,LEO,800.0,816.0,0.00111,98.7,101,5/13/1998,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Titan 2,1998-030A,25338.0
NOAA-18,USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),USA,Government,Earth Observation,LEO,843.0,864.0,0.00145,99.1,102,5/20/2005,Lockheed Martin Space Systems,USA,Vandenberg AFB,Delta 2,2005-018A,28654.0
NOAA-19,USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),USA,Government,Earth Observation,LEO,845.0,864.0,0.00131,98.9,102,2/6/2009,Lockheed Martin Space Systems,USA,Vandenberg AFB,Delta 2,2009-005A,33591.0
NPP,USA,National Oceanographic and Atmospheric Administration (NOAA)/NASA,USA,Government,Earth Observation,LEO,827.0,827.0,0.0,98.7,101.4,10/28/2011,Ball Aerospace,USA,Vandenberg AFB,Delta 2,2011-061A,37849.0
NPS-SCAT,USA,Naval Post-Graduate School,USA,Government,Technology Development,LEO,426.0,441.0,0.0011,40.49,94.63,11/19/2013,Naval Post-Graduate School,USA,Wallops Island Flight Facility,Minotaur,2013-064K,39389.0
NSS-10,USA,SES (Société Européenne des Satellites (SES)),Netherlands,Commercial,Communications,GEO,35778.0,35795.0,0.000202,0.02,1436.1,2/3/2005,Alcatel Space Industries,France,Baikonur Cosmodrome,Proton/Breeze M,2005-003A,28526.0
NSS-11,USA,SES (Société Européenne des Satellites (SES)),Netherlands,Commercial,Communications,GEO,35776.0,35798.0,0.000261,0.07,1436.15,10/2/2000,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-059A,26554.0
NSS-12,United Kingdom,SES (Société Européenne des Satellites (SES)),Netherlands,Commercial,Communications,GEO,35779.0,35793.0,0.000166,0.06,1436.08,10/29/2009,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2009-058A,36032.0
NSS-5,NR,SES World Skies/Intelsat [SES] (shared capacity),Netherlands,Commercial,Communications,GEO,35776.0,35796.0,0.000237,0.0,1436.08,9/23/1997,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 42L,1997-053A,24957.0
